지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22186,2021-01-01 00:00,9.6,344,13.5,1030.5,72,1.9,10.1,4.8,2.9,2,7.1,289
22186,2021-01-01 01:00,8.9,343,11.2,1030,56,2.9,10,4.6,2.6,1.9,8,304
22186,2021-01-01 02:00,8.9,340,12.1,1030.1,59,2.9,10.1,3.8,2.7,1.9,8,313
22186,2021-01-01 03:00,8.3,339,12.3,1029.9,58,3,10.2,4,2.6,1.8,7.1,289
22186,2021-01-01 04:00,7.8,329,10.2,1030.1,65,2.8,10.3,4.1,2.5,1.8,8,299
22186,2021-01-01 05:00,8.2,316,11.5,1028,55,3.2,10.3,3.6,2.1,1.5,7.1,306
22186,2021-01-01 06:00,8.4,317,11.2,1029.5,52,2.5,10.3,2.8,1.8,1.3,8,312
22186,2021-01-01 07:00,8.3,308,11.1,1027.8,55,3.5,10.2,3.1,2.1,1.5,7.1,293
22186,2021-01-01 08:00,8.4,314,13.2,1029.9,53,2.6,10.2,2.8,1.8,1.3,7.1,290
22186,2021-01-01 09:00,7.6,301,10.8,1029.3,54,3.8,10,3,2,1.4,7.1,298
22186,2021-01-01 10:00,8.9,311,12.9,1029.9,56,4.4,9.9,2.4,1.6,1.1,5.8,286
22186,2021-01-01 11:00,8.9,312,12.1,1030.4,52,4.2,9.9,3.2,1.7,1.2,6.4,288
22186,2021-01-01 12:00,9.4,301,13.3,1030.2,55,4.2,10,2.6,1.9,1.4,6.4,294
22186,2021-01-01 13:00,8.9,302,12.1,1029.3,53,4.3,10.1,3.1,2,1.4,6.4,317
22186,2021-01-01 14:00,9,298,11.3,1028.6,53,4.3,10.2,2.8,1.8,1.3,5.3,261
22186,2021-01-01 15:00,8.7,293,12.5,1028.3,52,4.6,10.2,3,1.6,1.2,5.8,312
22186,2021-01-01 16:00,8.3,288,11.5,1027.9,49,4.4,10.2,2.8,1.7,1.2,5.8,297
22186,2021-01-01 17:00,8.2,301,11.1,1027.8,51,4.6,10.3,3,1.8,1.3,7.1,324
22186,2021-01-01 18:00,8.1,291,11.1,1027.6,52,5.1,10.3,2.8,1.7,1.2,6.4,322
22186,2021-01-01 19:00,6.3,293,9.4,1027.5,53,5.1,10.3,3.3,1.7,1.2,6.4,309
22186,2021-01-01 20:00,5.5,291,9.2,1028.1,58,4.9,10.2,2.7,1.4,1,6.4,291
22186,2021-01-01 21:00,5.6,339,8,1028.1,70,3.8,10.2,2.3,1.4,1,7.1,309
22186,2021-01-01 22:00,5.9,331,9,1028.7,70,4,10,2.5,1.4,1,6.4,308
22186,2021-01-01 23:00,2.9,354,4.4,1028.6,71,3.5,9.9,2.4,1.4,1,6.4,317
22186,2021-01-02 00:00,5.1,275,7.4,1028.8,75,3.4,10,1.8,1.3,.9,6.4,330
22186,2021-01-02 01:00,5.9,356,7.7,1026.7,79,2.3,10,2.1,1.3,1,5.3,306
22186,2021-01-02 02:00,5.3,343,8.2,1028.8,67,3.9,10.1,1.8,1.3,.9,5.8,326
22186,2021-01-02 03:00,7.4,329,9.9,1026.8,65,3.5,10.1,2.2,1.3,.9,5.3,279
22186,2021-01-02 04:00,7.4,342,10.8,1028.6,76,3.2,10.2,2.1,1.3,.9,4.9,285
22186,2021-01-02 05:00,6.7,337,9.8,1026.5,72,3.9,10.2,2.5,1.3,.9,4.9,285
22186,2021-01-02 06:00,7.8,16,9.6,1028.7,79,2.6,10.2,2.1,1.1,.8,5.3,295
22186,2021-01-02 07:00,8.3,55,10.7,1027.2,82,2.6,10.2,1.9,1.1,.8,5.3,278
22186,2021-01-02 08:00,8.6,59,10.8,1029.4,79,.9,10.1,1.9,1.3,.9,5.8,290
22186,2021-01-02 09:00,7.5,53,9.7,1030.3,70,1.9,10,2.1,1.2,.8,5.3,301
22186,2021-01-02 10:00,7.6,56,9.6,1032,86,.6,10.1,2.2,1.3,1,5.3,292
22186,2021-01-02 11:00,8,71,10.4,1032.8,80,.3,10,2,1.3,.9,5.3,296
22186,2021-01-02 12:00,5.7,55,8.2,1033.5,74,.7,9.9,1.8,1.2,.8,4.9,333
22186,2021-01-02 13:00,5.1,58,7.8,1033.3,72,1,9.9,1.9,1.1,.8,5.8,286
22186,2021-01-02 14:00,6.5,10,8.5,1032.8,64,2.2,9.9,1.9,1.1,.8,5.3,263
22186,2021-01-02 15:00,6,6,8.6,1032.2,59,2,10,1.8,1.1,.8,5.3,317
22186,2021-01-02 16:00,5.4,7,9.2,1032.1,66,2.3,10.1,1.9,1,.7,4.9,356
22186,2021-01-02 17:00,7.4,9,10.7,1033,62,2.9,10.1,1.8,1.2,.9,5.3,327
22186,2021-01-02 18:00,6.8,356,9.5,1033.9,58,2.8,10.1,2.2,1.1,.8,4.9,345
22186,2021-01-02 19:00,6.4,353,8.9,1034.1,58,1.9,10.2,1.8,1.1,.8,5.3,324
22186,2021-01-02 20:00,7.3,357,10.5,1032.9,60,2.8,10.1,2,1,.7,4.9,325
22186,2021-01-02 21:00,7.8,358,11.8,1032.4,55,1.8,9.9,1.6,1.2,.8,5.3,318
22186,2021-01-02 22:00,7.8,7,11,1033.9,59,2.6,9.8,1.9,1,.7,4.9,341
22186,2021-01-02 23:00,6.9,357,9.1,1032.9,56,1.8,9.8,1.7,1.1,.8,5.3,303
