지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22193,2020-01-01 00:00,6.9,359,10.7,1033.5,62,3.5,12.4,3.4,1.9,1.4,7.1,354
22193,2020-01-01 01:00,6.5,353,10.4,1032.8,62,3.6,12.5,3.4,1.9,1.4,7.1,356
22193,2020-01-01 02:00,5.8,352,8.4,1033,59,3.4,12.5,2.5,1.6,1.2,7.1,357
22193,2020-01-01 03:00,6.7,349,10.6,1033,63,4,12.6,2.7,1.5,1.1,7.1,356
22193,2020-01-01 04:00,6.4,345,9.9,1032.7,62,4,12.6,2.6,1.7,1.2,7.1,334
22193,2020-01-01 05:00,5.7,348,10.5,1032.5,60,4.1,12.7,2.3,1.5,1,7.1,354
22193,2020-01-01 06:00,6.6,348,10.5,1032.4,62,4.4,12.7,2.1,1.3,.9,7.1,349
22193,2020-01-01 07:00,6.9,337,9.6,1032.7,60,4.8,12.7,2.4,1.3,.9,7.1,349
22193,2020-01-01 08:00,4.4,335,7,1033.1,58,4.4,12.5,2.1,1.4,1,5.8,337
22193,2020-01-01 09:00,5.3,5,8,1033.3,59,4.8,12.4,1.9,1.3,.9,6.4,346
22193,2020-01-01 10:00,5,335,7.3,1034.1,59,5.1,12.5,1.9,1.1,.8,5.8,1
22193,2020-01-01 11:00,4.8,344,6.3,1034.2,56,5.2,12.5,1.7,1.2,.8,5.8,359
22193,2020-01-01 12:00,5.3,347,8.1,1033.3,57,5.3,12.5,1.8,.9,.7,5.8,347
22193,2020-01-01 13:00,5,352,7,1032.3,58,5.6,12.6,1.4,.9,.6,5.8,356
22193,2020-01-01 14:00,4.4,351,7,1031.6,59,5.6,12.6,1.3,.8,.5,5.8,347
22193,2020-01-01 15:00,4.1,315,6.4,1031.9,57,5.7,12.6,1.2,.8,.5,5.8,331
22193,2020-01-01 16:00,5.4,300,8.1,1032.2,57,6,12.6,1.1,.7,.5,5.8,327
22193,2020-01-01 17:00,5.7,327,8.8,1031.5,58,6.1,12.8,1.1,.8,.5,5.8,358
22193,2020-01-01 18:00,4.5,350,7.2,1031.5,58,6.1,13.1,1.2,.8,.5,5.3,350
22193,2020-01-01 19:00,4.8,353,7.3,1031.5,60,6.6,13.1,1.2,.7,.5,5.8,339
22193,2020-01-01 20:00,4.5,330,6.8,1031.2,57,6.5,13.1,1.4,.7,.5,5.3,330
22193,2020-01-01 21:00,3.6,346,5.5,1031.6,58,6.9,13.1,1.1,.8,.6,4.9,335
22193,2020-01-01 22:00,4.7,338,6.8,1031.7,57,7,13.1,1.3,.7,.5,4.9,5
22193,2020-01-01 23:00,3.8,338,8,1031.9,56,7.2,12.6,1.1,.7,.5,5.3,343
22193,2020-01-02 00:00,2.4,322,5.1,1031.6,57,7.3,12.6,1.4,.8,.6,4.9,359
22193,2020-01-02 01:00,3.7,351,5.7,1030,58,7.3,12.5,1.3,.8,.6,5.3,357
22193,2020-01-02 02:00,3.8,346,6.3,1029.8,59,7.6,12.5,1.2,.7,.5,5.3,358
22193,2020-01-02 03:00,2.6,346,5.5,1029.8,58,7.2,12.6,1.3,.8,.5,5.3,347
22193,2020-01-02 04:00,3.3,339,5.2,1029.9,58,7.5,12.7,1.2,.6,.5,5.8,356
22193,2020-01-02 05:00,4.2,342,5.9,1029.6,58,7.7,13,1,.7,.5,4.6,4
22193,2020-01-02 06:00,4,335,6.1,1029.9,60,8.1,13.1,1,.7,.5,4.6,353
22193,2020-01-02 07:00,4.9,332,7.1,1030.3,60,8,13.1,1.2,.7,.5,4.3,343
22193,2020-01-02 08:00,4.4,350,6,1030.3,59,7.7,13.1,1.2,.7,.5,5.3,347
22193,2020-01-02 09:00,3.6,346,5.1,1030.6,60,8,12.6,1,.6,.4,4,9
22193,2020-01-02 10:00,3.3,328,4.8,1031.1,62,8.2,12.6,.9,.6,.4,5.8,358
22193,2020-01-02 12:00,3.6,323,5.4,1030.7,62,8.4,12.5,1,.5,.4,4.9,344
22193,2020-01-02 13:00,3.6,331,5,1029.6,63,8.4,12.6,.8,.5,.4,4.6,336
22193,2020-01-02 14:00,4.2,317,5.7,1029.1,64,8.6,12.6,1,.5,.4,4.6,352
22193,2020-01-02 15:00,4.9,324,6.6,1028.9,63,8.8,12.6,.8,.5,.4,4.9,332
22193,2020-01-02 16:00,5.2,329,6.6,1028.9,62,8.9,12.5,.9,.5,.3,4.6,358
22193,2020-01-02 17:00,5.5,333,7.2,1028.9,61,9,12.5,.9,.5,.4,5.8,333
22193,2020-01-02 18:00,4.4,334,6.2,1028.6,59,9,12.5,.9,.5,.4,4.9,353
22193,2020-01-02 19:00,3.7,339,5.2,1028.6,59,9.1,12.5,.8,.5,.3,5.3,337
22193,2020-01-02 20:00,4.6,4,6.4,1029.3,68,8.7,12.6,.9,.5,.3,2.9,353
22193,2020-01-02 21:00,4.2,353,5.8,1029.7,64,8.8,12.6,.8,.5,.3,3.2,2
22193,2020-01-02 22:00,4.9,359,6.4,1029.7,64,8.9,12.4,.8,.5,.3,4,353
22193,2020-01-02 23:00,4.7,360,6.2,1029.2,64,8.8,12.4,.8,.5,.3,2.1,1
22193,2020-01-03 00:00,3.4,357,5,1028.9,64,8.8,12.4,.7,.5,.4,2.9,10
22193,2020-01-03 01:00,2.7,357,4.1,1028.7,63,8.7,12.3,.6,.4,.3,3.8,39
22193,2020-01-03 02:00,3.7,342,5.7,1028.6,62,9,12.5,.7,.4,.3,3.4,6
22193,2020-01-03 03:00,3.7,321,5.4,1028.3,63,9,12.6,.6,.4,.3,3,26
22193,2020-01-03 04:00,4.1,310,5.3,1027.7,61,9.4,12.6,.6,.4,.3,4,0
22193,2020-01-03 05:00,5.6,338,6.9,1027.3,64,9.6,12.6,.6,.4,.3,2.8,7
22193,2020-01-03 06:00,4.7,334,5.9,1027,66,9.5,12.6,.8,.4,.3,2.7,355
22193,2020-01-03 07:00,6,7,8.7,1027,70,9.8,12.5,.7,.4,.3,2.7,349
22193,2020-01-03 08:00,5.5,24,6.9,1026.9,72,9.4,12.4,.8,.5,.4,2.6,356
22193,2020-01-03 09:00,5.8,14,7.8,1027.8,72,9.4,12.4,1.1,.6,.5,2.8,15
22193,2020-01-03 10:00,4.7,2,6.3,1028.5,67,9.1,12.5,1.1,.7,.5,3.4,26
22193,2020-01-03 11:00,4.8,8,6.1,1028.8,68,9.1,12.4,.9,.6,.4,3.6,354
22193,2020-01-03 12:00,4.7,3,6.7,1028,68,8.9,12.4,1,.6,.4,3.2,26
22193,2020-01-03 13:00,5,353,7.1,1026.9,68,8.9,12.4,1.1,.6,.4,3.4,15
22193,2020-01-03 14:00,4.8,339,6.5,1026.1,68,8.9,12.3,1.2,.6,.4,3.8,4
22193,2020-01-03 15:00,5.6,342,7.3,1026.2,67,8.8,12.5,1,.6,.4,3.2,17
22193,2020-01-03 16:00,5.8,343,7.6,1026.3,67,8.9,12.6,1,.6,.4,4.3,359
22193,2020-01-03 17:00,6.2,353,8.3,1026.3,66,8.9,12.4,.9,.6,.4,4.3,2
22193,2020-01-03 18:00,7.7,353,9.9,1026.4,66,8.9,12.4,1.1,.6,.5,3.6,4
22193,2020-01-03 19:00,6.9,358,8.7,1026.7,66,8.6,12.4,1,.7,.5,3.4,2
22193,2020-01-03 20:00,7,3,9.1,1026.9,64,8.5,12.4,1.1,.7,.5,3.8,359
22193,2020-01-03 21:00,5.4,0,6.9,1026.8,61,8.5,12.4,1.2,.7,.5,3.6,4
22193,2020-01-03 22:00,4.8,2,7.6,1026.6,60,8.3,12.4,1.2,.7,.5,3.6,8
22193,2020-01-03 23:00,4.4,3,5.8,1026.4,62,8.4,12.4,1.1,.7,.5,3.8,22
22193,2020-01-04 00:00,4.4,360,6,1026.2,63,8.2,12.4,.8,.6,.4,3.6,355
22193,2020-01-04 01:00,3.7,354,5.5,1026,62,8.2,12.3,1,.6,.4,3.8,24
22193,2020-01-04 02:00,4,0,6,1025.8,63,8,12.4,.9,.6,.4,3.8,29
22193,2020-01-04 03:00,4.2,337,5.8,1025.8,63,8,12.4,.8,.5,.3,3.8,14
22193,2020-01-04 04:00,4.7,339,6.9,1025.6,66,8.4,12.4,.9,.5,.3,3.2,18
22193,2020-01-04 05:00,5.4,340,7.1,1025.3,62,8.1,12.5,.8,.5,.3,3.6,9
22193,2020-01-04 06:00,5.3,348,7.6,1025.2,63,8.3,12.4,.8,.5,.3,3,18
22193,2020-01-04 07:00,5.3,339,6.9,1025.3,62,8.3,12.3,.8,.5,.4,3.8,13
22193,2020-01-04 08:00,6,349,7.6,1025.3,62,8.5,12.3,1,.6,.4,3.2,0
22193,2020-01-04 09:00,6.2,351,7.7,1025.4,63,8.7,12.3,.9,.6,.4,3.2,358
22193,2020-01-04 10:00,6.6,360,8.7,1025.9,63,8.8,12.4,1.2,.6,.4,3.4,12
22193,2020-01-04 11:00,6.5,352,8.3,1026.4,63,8.9,12.4,1.1,.6,.5,3.2,356
22193,2020-01-04 12:00,6,352,8.1,1026.4,64,9,12.4,.9,.6,.4,3.6,7
22193,2020-01-04 13:00,5.6,349,7.3,1025.7,63,9,12.4,.8,.6,.4,3.8,12
22193,2020-01-04 14:00,5.9,343,7.9,1025.5,65,9.2,12.4,.8,.5,.4,3.6,8
22193,2020-01-04 15:00,6.2,339,7.6,1025.6,64,9.4,12.4,.9,.6,.4,3.4,2
22193,2020-01-04 16:00,6.8,342,8.5,1025.5,64,9.5,12.4,1.2,.6,.5,3.4,356
22193,2020-01-04 17:00,6.8,344,8.6,1025.6,64,9.6,12.4,.9,.6,.5,3.6,8
22193,2020-01-04 18:00,7.1,357,8.8,1025.7,61,9.8,12.4,1.3,.7,.5,3.4,0
22193,2020-01-04 19:00,7.1,358,9.5,1026.4,59,9.5,12.3,1.2,.7,.5,4,358
22193,2020-01-04 20:00,7.2,4,9.5,1026.7,64,9.3,12.3,1.4,.8,.6,4,351
22193,2020-01-04 21:00,6.1,5,8.1,1027.1,64,9,12.3,1.6,.8,.6,3.8,1
