지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
22101,1996-09-06,2.4,1013.7,73,22,22.3,.3,.2,.3,.5,2.9,8
22101,1996-09-07,1.8,1015.1,82,22.4,22.5,.2,.1,.2,.3,3,5
22101,1996-09-08,2.9,1013.9,81,21.7,22.3,.4,.2,.5,.8,3.3,5
22101,1996-09-09,4,1013.2,84,21.9,22.2,.6,.4,.7,1.1,3,4
22101,1996-09-10,1.6,1013.3,89,22,22.4,.4,.2,.3,.5,7.5,10
22101,1996-09-11,1.2,1012.5,90,22.1,22.4,.2,.1,.2,.3,4.7,9
22101,1996-09-12,1.1,1011,88,21.7,22.3,.2,.1,.2,.3,3.6,7
22101,1996-09-13,2.5,1010.9,81,22.2,22.4,.4,.2,.4,.6,4.1,6
22101,1996-09-14,1.3,1012.9,86,22.4,22.5,.3,.2,.2,.3,4.2,6
22101,1996-09-15,2.3,1011.9,93,22.3,22.5,.4,.3,.4,.6,3.7,4
22101,1996-09-16,3.1,1009.1,86,21.3,22.4,.4,.3,.4,.6,3.4,5
22101,1996-09-17,3.6,1008.9,81,21.5,22.4,.4,.3,.4,.6,5.5,10
22101,1996-09-18,2.2,1008.1,85,22,22.5,.3,.2,.4,.6,9.7,10
22101,1996-09-19,4.4,1008.8,68,21.7,22.4,.7,.4,1.4,2.3,3.8,10
22101,1996-09-20,6.6,1011.5,46,20.3,22.1,1.4,.9,1.4,2.3,3.9,5
22101,1996-09-21,5.1,1011.5,55,20.4,22,.8,.5,.9,1.4,3.5,4
22101,1996-09-22,3.2,1011.8,76,21.6,22.2,.4,.3,.5,.8,3.1,4
22101,1996-09-23,4.9,1015.9,86,22.4,22.2,1,.6,.8,1.3,4.4,6
22101,1996-09-24,3.4,1017.7,91,21.7,22.2,1,.7,.8,1.3,5.2,7
22101,1996-09-25,2.3,1016.2,93,21.2,22.3,.6,.4,.5,.8,3.8,5
22101,1996-09-26,3.6,1017.9,83,21.4,22.2,.5,.3,.5,.8,3.7,5
22101,1996-09-27,5.2,1020.5,73,21.3,22.2,.4,.3,.5,.8,3,7
22101,1996-09-28,4.6,1018.8,66,20,21.9,.4,.2,.4,.6,4.4,10
22101,1996-09-29,4.5,1012.9,73,20.7,21.9,.4,.3,.6,1,4.7,10
22101,1996-10-02,6.9,1008.8,79,18.9,21.2,1.4,.9,1.3,2.1,4.4,6
22101,1996-10-03,4.9,1008.6,75,18.7,21.2,1.4,.9,1.1,1.8,5.2,6
22101,1996-10-04,3.5,1012.7,60,19.7,21.1,1.1,.7,1.1,1.8,4.8,6
22101,1996-10-05,5.9,1011.5,76,19.6,21.2,.8,.5,1.1,1.8,3.5,5
22101,1996-10-06,8.7,1013,63,16.3,20.7,2.1,1.3,1.9,3.1,4.5,6
22101,1996-10-07,4.7,1018.3,48,16.1,20.5,1.1,.7,1.1,1.8,4.3,6
22101,1996-10-08,6,1017.8,59,17.3,20.5,1.2,.7,1,1.6,4.1,7
22101,1996-10-09,5.3,1020,46,17.1,20.2,1.1,.7,1.1,1.8,4,6
22101,1996-10-10,1.9,1022,63,17.6,20.3,.3,.2,.3,.5,3.7,5
22101,1996-10-11,1.8,1022.4,63,18.3,20.3,.2,.1,.2,.3,3.4,8
22101,1996-10-12,2.9,1021.5,71,18.7,20.2,.3,.1,.3,.5,2.5,5
22101,1996-10-13,3.5,1016.3,67,19,20.1,.3,.2,.4,.6,3,5
22101,1996-10-14,7.4,1011.9,57,16.5,19.8,1.5,.9,1.3,2.1,3.8,5
22101,1996-10-15,7.8,1015.8,52,13.8,19.3,1.7,1,1.5,2.4,4.5,5
22101,1996-10-16,3.8,1019.8,57,13.5,19.1,.7,.5,.6,1,3.9,5
22101,1996-10-17,2.5,1017.2,63,15.6,19.1,.3,.2,.2,.3,3.4,5
22101,1996-10-18,4.5,1015.9,71,16.1,19,.7,.4,.8,1.3,3.2,4
22101,1996-10-19,4.8,1020.9,61,15.8,18.8,1,.6,1,1.6,3.9,6
22101,1996-10-20,3,1024.6,65,16.2,18.9,.4,.2,.4,.6,3.7,5
22101,1996-10-21,1.9,1025.3,71,16.9,18.8,.2,.1,.2,.3,3.5,9
22101,1996-10-22,3.3,1023.8,71,17.7,18.9,.3,.2,.3,.5,2.9,8
22101,1996-10-23,2.1,1022.2,82,18.3,18.9,.2,.1,.3,.5,4.6,9
22101,1996-10-24,4.9,1018.6,87,16.6,18.8,.7,.4,1,1.6,4.3,9
22101,1996-10-25,9.2,1020.6,64,11,18.3,2.3,1.4,2.1,3.4,4.6,5
22101,1996-10-26,4.9,1023.1,48,8.8,17.6,.9,.6,1.1,1.8,3.8,5
22101,1996-10-27,4.7,1019.6,62,12.4,17.5,.9,.5,.9,1.4,4.5,7
22101,1996-10-28,7,1015.1,80,16.5,17.6,1.7,1.1,1.4,2.3,5.9,7
22101,1996-10-29,7.8,1014,91,17.7,17.6,1.4,.9,1,1.6,5,7
22101,1996-10-30,6.4,1017.2,59,15.5,17.4,1.1,.7,1,1.6,4.2,7
22101,1996-10-31,5.8,1014.6,78,15.5,17.3,.6,.4,.5,.8,3,4
22101,1996-11-01,6,1015.1,71,12.5,17,1,.6,1,1.6,3.2,4
22101,1996-11-02,5,1023.2,50,12.8,16.9,1.2,.7,1.1,1.8,3.7,5
22101,1996-11-03,2.8,1026.8,61,13.7,16.9,.4,.2,.5,.8,3.3,4
22101,1996-11-04,4,1017.6,89,15.5,16.9,.5,.3,.5,.8,3,4
22101,1996-11-05,7.8,1020.1,69,12,16.6,1.6,1,1.9,3.1,3.9,6
22101,1996-11-06,5.2,1025,61,9.8,16.3,1,.6,1.5,2.4,3.5,5
22101,1996-11-07,4,1022.6,67,10.2,16.1,.6,.4,.8,1.3,2.8,4
22101,1996-11-08,3.8,1016.9,79,11.3,16.1,.4,.3,.6,1,3.6,6
22101,1996-11-09,3.7,1019.1,73,12.9,15.9,.7,.5,.5,.8,3.5,5
22101,1996-11-10,3.2,1018.8,75,13.8,15.9,.5,.3,.5,.8,4.3,9
22101,1996-11-11,6.7,1015.4,77,11.9,15.8,1.3,.8,1.6,2.6,3.7,6
22101,1996-11-12,8.6,1016.6,64,7.3,15.2,2,1.2,1.6,2.6,4.5,6
22101,1996-11-13,5.9,1023,58,7.2,14.9,1.3,.8,1.2,1.9,4.2,6
22101,1996-11-14,6.5,1027.7,59,6.1,14.6,1.2,.7,1.4,2.3,3.9,6
22101,1996-11-15,6.2,1029.8,54,5,14.1,1.4,.9,1.1,1.8,4.5,7
22101,1996-11-16,3.6,1024.4,56,5.9,13.9,.6,.4,.6,1,3.6,5
22101,1996-11-17,8.4,1018.8,77,7.6,13.8,2.6,1.6,2.5,4,5.7,9
22101,1996-11-18,5.8,1022.5,54,8.9,13.6,2.1,1.3,1.7,2.7,6.3,8
22101,1996-11-19,3.5,1022.9,55,10.5,13.7,1,.6,.9,1.4,4.8,7
22101,1996-11-20,9.7,1015.9,70,11.3,13.5,2.4,1.5,2.1,3.4,6,8
22101,1996-11-21,5.8,1023,56,5.9,13,1.9,1.2,2,3.2,5.5,8
22101,1996-11-22,2.8,1022.6,44,7.4,13,.7,.4,.6,1,4.2,5
22101,1996-11-23,6.5,1017.7,72,9.3,12.8,1.6,1,1.4,2.3,5.5,7
22101,1996-11-24,3.3,1022.6,64,8.1,12.6,.9,.5,.9,1.4,4.8,6
22101,1996-11-25,4.1,1022.6,62,10.6,12.7,.4,.3,.4,.6,3.8,5
22101,1996-11-26,6.2,1015.9,77,8.9,12.5,1.3,.8,2.4,3.9,3.7,8
22101,1996-11-27,7.8,1022.1,63,1.7,11.9,2.2,1.4,1.9,3.1,5.5,8
22101,1996-12-03,6,1024,72,6.9,10.3,1,.6,.8,1.3,3.8,6
22101,1996-12-04,8.3,1013.7,81,5,10.2,1.5,.9,1.9,3.1,4,5
22101,1996-12-05,9.3,1017.1,65,-2.2,9.6,2.8,1.8,2.3,3.7,6.1,9
22101,1996-12-06,5.4,1017.3,73,-1.3,9.4,1.7,1.1,1.4,2.3,7,8
22101,1996-12-07,6,1022.1,61,3.3,9.3,1.8,1.1,1.6,2.6,5.9,7
22101,1996-12-08,6.3,1020.7,62,7.2,9.4,1.8,1.1,1.7,2.7,5.5,7
22101,1996-12-09,3.2,1018.2,68,7.8,9.3,.7,.4,.6,1,4.6,6
22101,1996-12-10,7,1017.6,59,7.6,9.1,1.5,.9,1.1,1.8,4.6,7
22101,1996-12-11,3.9,1021.7,47,5.5,8.8,1,.7,1.1,1.8,4.8,7
22101,1996-12-12,3.9,1021.2,63,7.1,8.8,.4,.3,.4,.6,3.7,5
22101,1996-12-13,4.3,1018.6,81,8.4,8.9,.6,.4,.5,.8,3.7,5
22101,1996-12-14,2.8,1022.1,89,7.7,8.9,.4,.3,.3,.5,3.9,5
22101,1996-12-15,3.6,1023.6,78,9.1,9,.3,.2,.2,.3,3.3,4
22101,1996-12-16,,1021.9,,,9,.5,.3,.8,1.3,3.2,5
22101,1996-12-18,,1024.7,,,,1.5,.9,1.7,2.7,4.5,6
22101,1996-12-19,,1025.5,,,,1.6,1,1.6,2.6,6.2,7
22101,1996-12-20,,1022.9,,,,1,.6,.8,1.3,4.5,6
22101,1996-12-21,,1014.3,,,,1.3,.8,1.3,2.1,4.8,6
22101,1996-12-22,,1015.9,,,,3.3,2.1,3.1,5,6.3,8
22101,1996-12-23,,1019.4,,,,1.3,.8,1.3,2.1,4.8,7
22101,1996-12-24,,1015.9,,,,1.9,1.2,1.5,2.4,6.5,8
22101,1996-12-26,,1021.6,48,,7.3,.3,.1,.3,.5,3.9,9
22101,1996-12-27,,1019.5,42,,7.3,1.1,.7,1,1.6,4,6
22101,1996-12-28,,1019.1,39,,7.3,.4,.3,.4,.6,3.9,5
22101,1996-12-29,,1018.4,36,,7.3,.5,.3,.4,.6,3.9,5
22101,1996-12-30,,1018.6,28,,7.4,.3,.2,.4,.6,3.2,4
22101,1996-12-31,,1012,,,7.4,.8,.5,1.7,2.7,2.8,5
22101,1997-01-01,,1015.1,,,,4.5,2.8,3.6,5.8,6.9,9
22101,1997-01-02,,1021,,,,2,1.3,2.2,3.5,5,7
22101,1997-01-03,,1024.9,,,5.9,1.1,.7,.8,1.3,3.6,4
22101,1997-01-04,,1022.6,56,,5.8,.5,.3,.5,.8,3.1,4
22101,1997-01-05,,1022.1,,,5.6,2.6,1.6,2.2,3.5,5,8
22101,1997-01-06,,1028.8,,,5.1,1.7,1.1,1.8,2.9,6.1,8
22101,1997-01-07,,1030.3,,,5.1,1.2,.7,1,1.6,4.6,6
22101,1997-01-08,,1029.1,,,5.2,1.1,.7,1.1,1.8,4.4,6
22101,1997-01-09,,1024.9,,,5,.8,.5,.7,1.1,4.2,5
22101,1997-01-10,,1022.7,,,4.8,.4,.2,.3,.5,4,5
22101,1997-01-11,,1023.1,,,4.8,.3,.2,.3,.5,4,5
22101,1997-01-12,,1023.8,,,4.9,.2,.1,.2,.3,3.7,5
22101,1997-01-13,,1021.5,,,5,1.3,.8,1.6,2.6,3.8,7
22101,1997-01-14,,1025.8,,,4.5,1.1,.7,1.3,2.1,4.1,6
22101,1997-01-15,,1024,,,4.6,.3,.2,.4,.6,3.4,4
22101,1997-01-16,,1022.6,,,4.8,.3,.2,.2,.3,3.6,5
22101,1997-01-17,,1020.6,,,4.7,1.2,.7,1.4,2.3,3.8,7
22101,1997-01-18,,1021.3,,,4.4,1.2,.8,1.1,1.8,4,5
22101,1997-01-19,,1018.1,,,4.6,.7,.5,.8,1.3,4,5
22101,1997-01-20,,1017.8,,,4.4,2.2,1.4,2.3,3.7,4.5,7
22101,1997-01-21,,1025.2,,,3.9,2.5,1.6,2.5,4,4.5,6
22101,1997-01-22,,1022.8,,,3.6,.7,.4,.6,1,4,5
22101,1997-01-23,,1017.3,,,3.5,1.3,.8,1.3,2.1,4,5
22101,1997-01-24,,1016.8,,,3.3,1.9,1.2,1.6,2.6,4.5,6
22101,1997-01-25,,1016.7,,,3.4,1.5,.9,1.2,1.9,5.5,7
22101,1997-01-26,,1015.6,,,3.4,.9,.6,.9,1.4,5.1,7
22101,1997-01-27,,1009.1,,,3.4,1.5,.9,2,3.2,4.9,6
22101,1997-01-28,,1013.7,,,3.1,2.6,1.6,2.1,3.4,5.4,8
22101,1997-01-29,,1018.4,,,3,1.4,.8,1.5,2.4,4.8,7
22101,1997-01-30,,1019.5,,,3,.4,.3,.5,.8,4,5
22101,1997-01-31,,1022.4,,,3,1.4,.9,1.5,2.4,4.2,6
22101,1997-02-01,,1023.8,,,3,.7,.4,.7,1.1,4.1,6
22101,1997-02-02,,1022,,,2.8,1.6,1,1.3,2.1,4.1,6
22101,1997-02-03,,1024,,,2.8,1.1,.7,1.1,1.8,3.7,4
22101,1997-02-04,,1023.4,,,2.8,.3,.2,.4,.6,3.8,5
22101,1997-02-05,,1020.9,,,3,.9,.6,1.6,2.6,3.5,6
22101,1997-02-06,,1022.2,,,2.6,1.4,.9,1.8,2.9,4.3,6
22101,1997-02-07,,1019.9,,,2.7,.3,.2,.3,.5,3.5,5
22101,1997-02-08,,1017.6,,,2.8,.2,.1,.2,.3,3.1,5
22101,1997-02-09,,1015.7,,,2.8,.2,.1,.3,.5,2.7,6
22101,1997-02-10,,1012.7,,,2.7,2.9,1.8,2.6,4.2,5.5,8
22101,1997-02-11,,1018.8,,,2.5,2.2,1.4,1.9,3.1,5.2,7
22101,1997-02-12,,1023.7,,,2.5,1.2,.8,1.1,1.8,4.3,6
22101,1997-02-13,,1025.5,,,2.6,.7,.4,.7,1.1,3.8,5
22101,1997-02-14,,1020.6,,,2.6,.9,.5,.7,1.1,3.9,5
22101,1997-02-15,,1014.9,,,2.6,2.2,1.4,2.5,4,5,7
22101,1997-02-16,,1020.3,,,2.4,2.2,1.4,1.9,3.1,4.3,6
22101,1997-02-17,,1018.9,,,2.4,1,.6,1,1.6,3.5,5
22101,1997-02-18,,1020.7,,,2.3,1.9,1.2,1.7,2.7,5,6
22101,1997-02-19,,1018.9,,,2.5,1.7,1.1,1.6,2.6,5.2,7
22101,1997-02-20,,1017.4,,,2.4,2.1,1.3,2,3.2,5.3,7
22101,1997-02-21,,1027.7,,,2.2,1.9,1.2,1.5,2.4,4.3,5
22101,1997-02-22,,1029.4,,,2.3,.4,.2,.4,.6,3.6,4
22101,1997-02-23,,1027,,,2.4,.2,.1,.1,.2,4.3,9
22101,1997-02-24,,1021.5,,,2.7,.1,.1,.2,.3,4.5,9
22101,1997-02-25,,1020.3,,,2.5,.4,.2,.4,.6,3.4,5
22101,1997-02-26,,1025.5,,,2.7,.4,.2,.3,.5,4,5
22101,1997-02-27,,1020.9,,,2.8,.2,.1,.2,.3,6.6,9
22101,1997-02-28,,1014.5,,,2.8,1.5,1,1.6,2.6,4.1,6
22101,1997-03-01,,1022.5,,,2.8,.9,.6,1,1.6,3.7,6
22101,1997-03-02,,1025.2,,,2.8,1,.6,1,1.6,3.5,4
22101,1997-03-03,,1022.3,,,3,1.3,.8,1.3,2.1,4.3,5
22101,1997-03-04,,1019.7,,,3.1,1.5,.9,1.1,1.8,5.3,7
22101,1997-03-05,,1017.5,,,3.2,1,.6,.9,1.4,5.1,6
22101,1997-03-06,,1014.9,,,3.2,1,.6,.8,1.3,5,7
22101,1997-03-07,,1022.2,,,3.3,.6,.4,.9,1.4,4,5
22101,1997-03-08,,1022.5,,,3.4,.4,.2,.3,.5,3.3,5
22101,1997-03-09,,1020.6,,,3.6,.2,.1,.2,.3,4.1,9
22101,1997-03-10,,1017.6,,,3.5,.4,.3,.4,.6,4.5,8
22101,1997-03-11,,1021.6,,,3.6,.5,.3,.6,1,3.5,4
22101,1997-03-12,,1019,,,3.8,.2,.1,.2,.3,4.7,9
22101,1997-03-13,,1013.4,,,4,.2,.1,.2,.3,4.5,9
22101,1997-03-14,,1015.4,,,3.9,.9,.6,.8,1.3,3.3,5
22101,1997-03-15,,1021.4,,,3.9,.7,.5,.6,1,3,4
22101,1997-03-16,,1025.8,,,3.9,.6,.4,.7,1.1,2.6,3
22101,1997-03-17,,1025.3,,,4,.3,.2,.5,.8,2.8,6
22101,1997-03-18,,1020.3,,,4.2,.5,.3,.5,.8,2.9,6
22101,1997-03-19,,1017.1,,,4.3,.4,.3,.4,.6,3,4
22101,1997-03-20,,1017.4,,,4.4,.2,.1,.2,.3,3.2,6
22101,1997-03-21,,1014.2,,,4.3,.4,.3,.5,.8,3,5
22101,1997-03-22,,1015.7,,,4.5,1.1,.7,1.5,2.4,3.7,5
22101,1997-03-23,,1022.7,,,4.4,2,1.2,1.7,2.7,4.5,6
22101,1997-03-24,,1024.2,,,4.6,.7,.4,.6,1,3.9,5
22101,1997-03-25,,1021.9,,,4.8,.4,.3,.5,.8,3.7,4
22101,1997-03-26,,1021.7,,,4.9,.5,.3,.6,1,3,4
22101,1997-03-27,,1020.4,,,5,.3,.2,.2,.3,3,8
22101,1997-03-28,4.1,1012.1,82,,5.2,.4,.3,.4,.6,3.4,4
22101,1997-03-29,9.2,1012.7,83,,5,2.3,1.4,2,3.2,4.7,6
22101,1997-03-30,7.5,1023,87,,4.9,2.2,1.3,1.9,3.1,4.8,6
22101,1997-03-31,3.2,1023.2,80,,5.2,.5,.3,.5,.8,3.9,5
22101,1997-04-01,3.9,1015.1,72,,5.4,.5,.3,.5,.8,3.5,5
22101,1997-04-02,3.2,1012.5,44,,5.3,.5,.3,.4,.6,5.1,8
22101,1997-04-03,2.5,1015.1,,,5.6,.5,.3,.5,.8,4.8,6
22101,1997-04-04,1.4,1012.9,21,,5.5,.2,.1,.2,.3,3.8,6
22101,1997-04-05,2.3,1012.3,35,,5.7,.2,.1,.2,.3,3.3,6
22101,1997-04-06,1.7,1011.9,49,,5.6,.3,.2,.3,.5,2.7,9
22101,1997-04-07,1.9,1011.9,47,,5.9,.3,.2,.3,.5,3.3,5
22101,1997-04-08,4.1,1010.1,38,,6.1,.6,.4,.9,1.4,3.2,5
22101,1997-04-09,5.5,1012.9,34,,6.1,1.2,.7,1,1.6,4.3,5
22101,1997-04-10,4.9,1011.9,35,,6.2,.8,.5,.7,1.1,3.9,5
22101,1997-04-11,4.4,1011.7,48,,6.4,.9,.6,1,1.6,3.7,5
22101,1997-04-12,5.2,1009.7,41,,6.5,.6,.4,.5,.8,3.4,4
22101,1997-04-13,3.6,1012.4,39,,6.7,.6,.4,.5,.8,3.6,4
22101,1997-04-14,2.6,1014.2,38,,6.9,.4,.3,.5,.8,3.3,4
22101,1997-04-15,2.4,1014.9,37,,7,.3,.2,.3,.5,2.8,9
22101,1997-04-16,3.3,1015.8,35,,6.9,.5,.3,.6,1,3,5
22101,1997-04-17,1.5,1018.8,36,,7.2,.7,.4,.8,1.3,4,5
22101,1997-04-18,1.7,1020.6,33,,7.2,.4,.3,.4,.6,3.7,4
22101,1997-04-19,1.4,1020.3,32,,7.5,.3,.2,.3,.5,3.6,4
22101,1997-04-20,1.2,1018.8,40,,7.6,.2,.1,.1,.2,3.2,4
22101,1997-04-21,3.7,1017.3,59,,7.7,.5,.3,.6,1,3.1,5
22101,1997-04-22,4.9,1019.4,58,,7.7,1.1,.7,1.1,1.8,3.8,5
22101,1997-04-23,2.8,1021.5,49,,8,.5,.3,.4,.6,3.7,5
22101,1997-04-24,2.7,1019.7,47,,8.1,.4,.3,.5,.8,3.2,5
22101,1997-04-25,2.9,1020.2,55,,8.3,.3,.2,.3,.5,3.2,4
22101,1997-04-26,3.2,1018.7,63,,8.4,.4,.2,.4,.6,3.5,4
22101,1997-04-27,2,1013,69,,8.5,.3,.2,.3,.5,3.5,4
22101,1997-04-28,5.7,1005.7,72,,8.5,1,.6,1,1.6,4.4,5
22101,1997-04-29,2.6,1008.2,44,,8.7,.7,.5,.7,1.1,5.3,7
22101,1997-04-30,2.8,1011.5,26,,8.9,.5,.3,.7,1.1,3.2,5
22101,1997-05-01,3.7,1011,25,,9,.3,.2,.4,.6,3.1,4
22101,1997-05-02,2,1008.8,26,,9.1,.5,.3,.4,.6,4.1,5
22101,1997-05-03,4.4,1005.3,35,,9.3,.5,.3,.8,1.3,3.7,5
22101,1997-05-04,3,1008.7,51,,9.2,.8,.5,.9,1.4,4.8,6
22101,1997-05-05,4.4,1010,,,9.5,.4,.3,.5,.8,3.8,6
22101,1997-05-06,4.1,1010.5,,,9.5,.5,.3,.5,.8,4.3,6
22101,1997-05-07,7.5,1000.2,,,9.6,1.3,.8,1.7,2.7,4.7,7
22101,1997-05-08,3.4,1010,,,9.6,1.3,.8,1.6,2.6,5.5,9
22101,1997-05-09,4.7,1012.8,,,9.8,.6,.4,.5,.8,3.8,6
22101,1997-05-10,4,1011.4,,,9.9,.7,.4,.6,1,4.2,5
22101,1997-05-11,2.9,1011.5,,,10.1,.5,.3,.5,.8,4.9,6
22101,1997-05-12,8.7,1006.4,,,10.1,.8,.5,.9,1.4,2.6,4
22101,1997-05-13,5.3,1003.1,,,10.2,.7,.4,.6,1,3.2,4
22101,1997-05-14,2.1,1003.1,,,10.4,.5,.3,.4,.6,3.8,4
22101,1997-05-15,4.6,1001.1,,,10.5,.5,.3,.5,.8,2.7,4
22101,1997-05-16,5,1003.7,,,10.6,1.2,.7,1,1.6,4.2,5
22101,1997-05-17,5.7,1001.9,,,10.7,1.6,1,1.3,2.1,5.2,7
22101,1997-05-18,3.8,1001.1,,,10.9,1.1,.7,1,1.6,5.2,6
22101,1997-05-19,4.3,1001.8,,,11.1,1.2,.7,1.3,2.1,4.1,5
22101,1997-05-20,1.8,1006.8,,,11.4,.7,.5,.6,1,4.4,5
22101,1997-05-21,2.1,1010.7,,,11.6,.6,.4,.6,1,4.1,5
22101,1997-05-22,3.1,1011.8,,,11.9,.4,.2,.3,.5,3.3,4
22101,1997-05-23,5.6,1005.2,,,11.7,.9,.6,1,1.6,3.8,7
22101,1997-05-24,3.4,1005.3,,,11.9,1,.7,1.1,1.8,4.5,6
22101,1997-05-25,2.8,1004.6,,,12.1,.5,.3,.4,.6,3.8,5
22101,1997-05-26,3.2,1009.6,,,12.3,.5,.3,.5,.8,4.7,6
22101,1997-05-27,2.5,1011.8,,,12.5,.3,.2,.2,.3,4.6,6
22101,1997-05-28,4.3,1009.2,,,12.5,.5,.3,.6,1,4,5
22101,1997-05-29,2.5,1004.6,,,12.6,.4,.3,.4,.6,3.8,5
22101,1997-05-30,5,1002,,,12.6,.9,.5,.8,1.3,4.3,6
22101,1997-05-31,6.8,1002.8,,,12.8,.9,.6,1.1,1.8,4.1,5
