지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
22101,1996-07-05,2,1004.1,,,,,,,,,
22101,1996-07-06,2.7,1006.4,90,17.8,16.1,,,,,,
22101,1996-07-07,4.7,1012.9,76,19.1,16.4,,,,,,
22101,1996-07-08,3,1012.4,81,18.2,16.6,,,,,,
22101,1996-07-09,2.8,1008.9,77,18.7,16.7,,,,,,
22101,1996-07-10,1.7,1007.3,84,18.7,17,,,,,,
22101,1996-07-11,2.1,1007.5,81,19.2,17,,,,,,
22101,1996-07-12,2.9,1008.3,90,18.5,17.1,,,,,,
22101,1996-07-13,2.7,1010.7,99,18.1,17.1,,,,,,
22101,1996-07-14,1.8,1010.1,99,18.3,17.4,,,,,,
22101,1996-07-15,10.6,1000.7,93,20.2,17.3,,,,,,
22101,1996-07-16,4.8,1007.6,94,19.1,17.5,,,,,,
22101,1996-07-17,4.1,1008.6,97,20.3,17.5,,,,,,
22101,1996-07-18,2.8,1008,95,20.2,17.9,,,,,,
22101,1996-07-19,2.2,1007.6,100,19.7,17.9,,,,,,
22101,1996-07-21,3.7,1004.4,99,19.6,18,,,,,,
22101,1996-07-22,2.7,1007.5,100,19.3,18.3,,,,,,
22101,1996-07-23,3.5,1006.5,99,20.6,18.6,,,,,,
22101,1996-07-24,6.1,1006,98,20.9,18.5,1.1,.7,.8,1.3,4.5,6
22101,1996-07-25,7.3,1006.8,97,21.6,18.8,1.3,.8,1,1.6,5,6
22101,1996-07-26,6,1008.7,98,21.9,19,.9,.6,.7,1.1,5.3,12
22101,1996-07-27,4.6,1009.6,96,22.1,19.2,.8,.5,.6,1,9.7,12
22101,1996-07-28,2.7,1010.2,96,22.1,19.4,.6,.4,.5,.8,9.1,10
22101,1996-07-29,4,1008.6,98,22,20,.6,.4,.5,.8,5.7,10
22101,1996-08-01,1.3,1012.8,93,22.6,20.7,.5,.3,.6,1,10.1,16
22101,1996-08-02,.7,1012.5,91,22.8,20.9,.7,.4,.7,1.1,9.3,12
22101,1996-08-03,1.7,1011.6,,22.5,21.1,.5,.3,.5,.8,8,9
22101,1996-08-04,1.7,1009.7,,22.3,21.2,.4,.3,.4,.6,5.6,9
22101,1996-08-05,1.2,1006.1,,22.3,21.4,.3,.2,.3,.5,4.3,5
22101,1996-08-06,1.8,1005,,22.9,21.6,.4,.2,.4,.6,4.1,5
22101,1996-08-07,2.5,1005.8,95,23.1,21.6,.6,.4,.5,.8,4.5,5
22101,1996-08-08,2,1006.7,,22.9,22.2,.4,.3,.4,.6,3.9,4
22101,1996-08-09,1.8,1007.6,,24.1,22.7,.3,.2,.2,.3,7.7,9
22101,1996-08-10,1.9,1007.6,,24.4,22.6,.2,.1,.2,.3,7.3,9
22101,1996-08-11,1.5,1006,,24.1,22.4,.2,.1,.2,.3,4.3,9
22101,1996-08-12,1.6,1003.4,,23.5,22.4,.4,.3,.3,.5,3.8,5
22101,1996-08-13,1.4,1000.3,99,23.1,22.4,.3,.2,.4,.6,7.5,10
22101,1996-08-14,5.3,1000.4,93,23.3,22.3,.9,.6,.9,1.4,4,5
22101,1996-08-15,2.9,1008,95,22.6,22.4,.8,.5,.7,1.1,4.3,6
22101,1996-08-16,1.3,1011.2,,22.1,22.5,.4,.2,.3,.5,3.8,8
22101,1996-08-17,1.4,1012,,22.7,22.7,.2,.1,.1,.2,3.2,8
22101,1996-08-18,.9,1012.8,93,23.7,22.8,.2,.1,.1,.2,4.8,7
22101,1996-08-20,1.1,1010.9,95,23.9,23,.4,.3,.4,.6,4.7,6
22101,1996-08-21,2.7,1008.2,91,24.3,23.1,.4,.3,.4,.6,4,6
22101,1996-08-22,4.1,1007,91,23.3,23.1,.8,.5,1,1.6,4.2,5
22101,1996-08-23,5.5,1010,70,22.8,23,.9,.6,.8,1.3,3.9,7
22101,1996-08-24,5.9,1012.3,72,23.2,22.8,.5,.3,.6,1,2.4,3
22101,1996-08-26,4.4,1010.1,93,20.8,22.5,.5,.3,.4,.6,3.7,6
22101,1996-08-27,6,1006.2,92,20.3,22.2,.6,.4,.6,1,3.1,5
22101,1996-08-28,6,1007.4,84,20.9,22,.5,.3,.4,.6,3,5
22101,1996-08-29,4.8,1008.6,89,22,22.1,.3,.2,.5,.8,2.4,4
22101,1996-08-30,4.5,1011.5,80,22.1,22,.2,.1,.2,.3,2,3
22101,1996-08-31,3.3,1011.9,84,22.4,22.1,.2,.1,.2,.3,2.5,6
22101,1996-09-01,2.6,1011.6,83,22.2,22.1,.2,.1,.2,.3,2.2,3
22101,1996-09-02,2.2,1011.6,91,22.2,22.2,.3,.2,.3,.5,2.7,5
22101,1996-09-03,2.6,1012,89,22,22.2,.4,.2,.3,.5,4.2,7
22101,1996-09-04,3.5,1012.2,77,21.1,22.1,.8,.5,.8,1.3,4,5
22101,1996-09-05,1.3,1012.4,73,20.9,22.1,.4,.2,.4,.6,4.1,5
