지점,일시,수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec)
22445,2010-12-31 13:00,5.2,4.4,3.5,2.2,9
22445,2010-12-31 14:00,5.2,3.8,3,2,9.3
22445,2010-12-31 15:00,5,2.9,2,1.2,8.4
22445,2010-12-31 16:00,4.9,2.3,1.6,1,7.6
22445,2010-12-31 17:00,5,1.9,1.4,.9,7.7
22445,2010-12-31 18:00,4.6,2.5,1.8,1.1,8.3
22445,2010-12-31 19:00,4.5,2.5,1.9,1.2,8
22445,2010-12-31 20:00,4.7,2.9,2.2,1.3,8.2
22445,2010-12-31 21:00,4.6,2.6,2,1.2,7.8
22445,2010-12-31 22:00,4.6,2.3,1.9,1.2,8.2
22445,2010-12-31 23:00,4.6,1.7,1.4,.9,7.7
