지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22187,2021-01-01 00:00,11.5,318,15.8,,58,6.5,19.2,2.4,1.7,1.2,4.9,280
22187,2021-01-01 01:00,10.6,328,13.5,1026,64,6.5,19.2,2.6,1.6,1.1,4.6,289
22187,2021-01-01 02:00,11.3,323,15.3,1026.1,59,6.7,19.2,2.5,1.6,1.1,3.6,315
22187,2021-01-01 03:00,9.3,328,13.2,1026.8,62,6.4,19.2,2.6,1.6,1.1,8,252
22187,2021-01-01 04:00,10.8,332,14.8,1027.1,59,6.7,19.3,2.5,1.5,1.1,4,324
22187,2021-01-01 05:00,9.7,332,12.7,1027.1,56,6.6,19.3,2.1,1.4,1,4.9,321
22187,2021-01-01 06:00,8.4,330,12.4,1027.4,59,6.8,19.2,2.6,1.3,.9,4,299
22187,2021-01-01 07:00,7.6,340,10.9,1028,68,5.4,19.2,2.2,1.3,.9,4.9,332
22187,2021-01-01 08:00,8.8,327,13.1,1027.5,54,7,19.2,2.2,1.3,.9,3.8,336
22187,2021-01-01 09:00,6.2,327,9.5,1027.7,55,6.6,19.2,1.7,1,.7,4.9,305
22187,2021-01-01 10:00,7.3,332,9.9,1027.7,59,6.8,19.2,1.8,1.1,.8,4.6,338
22187,2021-01-01 11:00,5.9,340,10.4,1027.7,57,7.2,19.2,1.8,1,.7,8,264
22187,2021-01-01 12:00,5.6,332,9.1,1027.6,57,7.3,19.2,1.6,.9,.7,4.6,68
22187,2021-01-01 13:00,3.6,327,7.4,1026.8,50,7.2,19.2,1.5,.9,.6,7.1,90
22187,2021-01-01 14:00,3.9,301,6.4,1026,51,7.8,19.2,1.7,1,.7,7.1,112
22187,2021-01-01 15:00,5,319,7.8,1025.8,55,7.5,19.2,1.6,.9,.7,3.4,325
22187,2021-01-01 16:00,5.2,308,8.1,1025.5,57,8.2,19.1,1.5,1,.7,8,100
22187,2021-01-01 17:00,6.7,329,9.9,1025.4,58,8.2,19.1,1.7,1,.7,5.3,276
22187,2021-01-01 18:00,6.8,321,10.8,1025.5,57,8.5,19.1,1.7,.9,.7,5.8,279
22187,2021-01-01 19:00,6.3,319,10,1025.4,56,8.1,19.1,1.6,.9,.7,5.3,289
22187,2021-01-01 20:00,6.8,327,10.1,1025.4,58,8.6,19,1.7,1,.7,3.4,309
22187,2021-01-01 21:00,6.9,313,11.2,1025.4,56,8.4,19.1,1.4,.9,.7,4.3,312
22187,2021-01-01 22:00,5.9,320,8.5,1025.4,58,8.8,19.1,1.4,.9,.6,3.6,306
22187,2021-01-01 23:00,5.2,327,8.1,1025.2,56,9,19.1,1.3,.8,.6,9.1,84
22187,2021-01-02 00:00,6.2,326,8.8,1025,57,8.9,19.1,1.3,.8,.5,6.4,230
22187,2021-01-02 01:00,6.8,307,9.9,1025,60,9.2,19.1,1.3,.8,.6,3.4,287
22187,2021-01-02 02:00,8.5,312,11.9,1024.7,57,9.3,19.2,1.6,1,.7,3.8,287
22187,2021-01-02 03:00,9.6,294,12.5,1025.2,56,9.7,19.2,1.8,1.3,.9,4.6,282
22187,2021-01-02 04:00,9.1,296,12.8,1025.2,54,9.3,19.2,2.1,1.2,.8,4,284
22187,2021-01-02 05:00,7.9,305,11.6,1025.3,53,8.7,19.2,2,1.2,.9,4.9,257
22187,2021-01-02 06:00,7.2,287,11.9,1025.8,52,8.9,19.1,1.9,1.3,.9,4.9,273
22187,2021-01-02 07:00,7.3,282,11.1,1026,52,9.3,18.9,1.7,1.1,.8,4.6,286
22187,2021-01-02 08:00,6,298,9.6,1026.4,57,9,18.9,1.8,1.1,.8,3.6,289
22187,2021-01-02 09:00,5.5,320,9.2,,54,8.8,18.9,1.6,1,.7,4.9,253
22187,2021-01-02 10:00,6.6,313,10.2,1027.2,56,9.3,18.9,1.5,1.1,.8,4.3,256
22187,2021-01-02 11:00,6.7,321,9.9,1027.2,52,9.3,18.9,1.4,.9,.7,4.6,231
22187,2021-01-02 12:00,7.9,340,10.8,,56,9.6,19.1,1.4,.9,.7,4.9,252
22187,2021-01-02 13:00,4.8,311,7.7,,49,9.7,19.1,1.4,.8,.6,4.6,259
22187,2021-01-02 14:00,7.4,347,10.7,1025.8,64,8.9,19.2,1.4,.9,.6,3.6,296
22187,2021-01-02 15:00,7.6,346,11.5,1025.4,67,9.3,19.1,1.6,1,.7,4.3,316
22187,2021-01-02 16:00,8.9,345,12.4,1026.3,66,9,19.1,1.9,1.1,.8,3.8,339
22187,2021-01-02 17:00,9.8,337,13.1,1026.9,63,8.7,19.1,1.7,1.1,.8,3.6,340
22187,2021-01-02 18:00,10.8,344,14,1028.5,66,8.1,19,1.9,1.3,.9,4.3,345
22187,2021-01-02 19:00,11.4,342,15,1029.1,66,7,18.9,2.4,1.3,.9,4.6,351
22187,2021-01-02 20:00,11.5,340,14.9,1029.6,66,7.1,18.9,2.5,1.3,.9,4.6,346
22187,2021-01-02 21:00,10.5,352,14.2,1029.7,60,6.5,18.8,2.2,1.3,.9,4,347
22187,2021-01-02 22:00,10.6,6,15.1,1028.9,62,7,18.8,2,1.3,1,4.6,2
22187,2021-01-02 23:00,11.2,358,14.6,1029.8,62,6.7,18.8,2.1,1.4,1,4.9,22
22187,2021-01-03 00:00,9.6,348,12.9,1030.7,65,6.6,18.7,2.2,1.4,1,4.9,9
22187,2021-01-03 01:00,10.1,353,14,1030.7,65,6.6,18.6,2.8,1.5,1,4.9,4
22187,2021-01-03 02:00,10.9,352,14.7,1030.8,66,6.2,18.5,2.3,1.4,1,5.3,2
22187,2021-01-03 03:00,10.8,356,14.5,1031.2,67,6.7,18.5,3.1,1.6,1.2,4.9,2
22187,2021-01-03 04:00,9,350,12.6,1031.5,68,6.2,18.6,2.4,1.5,1.1,5.3,355
22187,2021-01-03 05:00,9.6,2,14.1,1031.4,67,6.6,18.6,2.3,1.5,1.1,5.3,348
22187,2021-01-03 06:00,9.8,345,12.9,1032.1,73,6.3,18.6,2.6,1.4,1,5.3,31
22187,2021-01-03 07:00,10.3,345,14.6,1032.7,70,6.2,18.6,2.4,1.4,1,5.3,17
22187,2021-01-03 08:00,10.6,353,15.6,1032.6,70,6.5,18.6,2.4,1.6,1.1,4.6,17
22187,2021-01-03 09:00,9.9,355,13.5,1032.7,67,6.2,18.6,2.2,1.5,1,4.6,21
22187,2021-01-03 10:00,9.5,350,13.5,1032.8,65,6.4,18.6,2.2,1.3,.9,5.3,22
22187,2021-01-03 11:00,10.7,356,14.2,1032.9,66,6.8,18.6,2.2,1.3,1,4.6,28
22187,2021-01-03 12:00,11.2,357,14.9,1032.4,70,6.7,18.6,2.2,1.4,1,4.9,28
22187,2021-01-03 13:00,10.1,357,14.8,1031.6,68,6.9,18.6,2.1,1.2,.9,4,26
22187,2021-01-03 14:00,10.7,356,14.2,1031.1,68,7,18.6,2,1.3,.9,4.9,24
22187,2021-01-03 15:00,9.7,355,13.5,1031.1,65,7.3,18.6,1.9,1.2,.9,4.6,14
