지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22107,2021-01-01 00:00,10.8,332,17.5,1026.3,59,6.8,17.5,5,3.2,2.3,8,289
22107,2021-01-01 01:00,9.6,328,15.6,1026.4,60,6.5,17.5,5.7,2.8,2,8,289
22107,2021-01-01 02:00,9.9,330,13.7,1026.7,55,7.2,17.4,4.6,2.8,2,8,317
22107,2021-01-01 03:00,10,331,13.8,1027.3,59,6.9,17.5,5.3,3.1,2.2,8,320
22107,2021-01-01 04:00,10.2,321,13.5,1027.4,58,7.3,17.5,4.3,3,2.1,8,320
22107,2021-01-01 05:00,9.3,342,13.3,1027.7,67,6.5,17.5,4.1,2.7,1.9,8,328
22107,2021-01-01 06:00,7.9,344,10.8,1027.6,61,6.7,17.4,4,2.3,1.6,8,328
22107,2021-01-01 07:00,8.8,336,12.6,1027.5,58,7,17.4,4.1,2.5,1.8,8,326
22107,2021-01-01 08:00,8.2,328,11.9,1027.3,58,7.2,17.3,4.2,2.4,1.7,7.1,327
22107,2021-01-01 09:00,6.8,347,10.4,1027.3,58,6.9,17.4,3.6,2.4,1.7,8,309
22107,2021-01-01 10:00,7,335,10.5,1027.8,57,7.3,17.4,3.5,1.9,1.4,8,288
22107,2021-01-01 11:00,7.1,331,10.5,1027.7,60,7.3,17.3,3.2,1.6,1.1,8,302
22107,2021-01-01 12:00,6.4,311,9.1,1027.8,58,7.5,17.3,2.7,1.7,1.2,8,314
22107,2021-01-01 13:00,5.5,310,8.1,1026.8,56,7.4,17.6,3,1.5,1,8,340
22107,2021-01-01 14:00,6.7,300,9.7,1026.4,56,7.6,17.9,2.5,1.5,1.1,8,337
22107,2021-01-01 15:00,5.7,292,8.7,1025.7,49,7.9,18,2.4,1.4,1,7.1,8
22107,2021-01-01 16:00,5.9,306,9.5,1025.5,55,7.8,18,2.3,1.5,1.1,7.1,312
22107,2021-01-01 17:00,6,317,8.8,1025.5,54,8.3,18,2,1.4,1,4.9,317
22107,2021-01-01 18:00,6,312,8.7,1025.4,56,8.3,18,2,1.4,1,6.4,315
22107,2021-01-01 19:00,6.1,306,9.2,1026,58,8.3,18,2.3,1.5,1.1,6.4,318
22107,2021-01-01 20:00,5.6,279,9.8,1025.7,51,8.6,18,1.7,1.1,.8,6.4,308
22107,2021-01-01 21:00,6.2,291,10.4,1025.4,58,8.6,17.9,2,1.3,.9,6.4,310
22107,2021-01-01 22:00,8.9,283,11.9,1025.4,60,9.1,17.9,1.8,1.2,.9,6.4,308
22107,2021-01-01 23:00,7.6,282,11.8,1025.5,55,8.6,17.9,1.9,1.2,.8,6.4,333
22107,2021-01-02 00:00,7.9,270,10.4,1025.5,56,8.6,17.9,1.8,1.3,.9,6.4,329
22107,2021-01-02 01:00,7,269,10,1025.6,52,8.2,17.9,1.8,1.3,.9,5.8,338
22107,2021-01-02 02:00,8.8,282,11.4,1025.6,52,8.1,17.9,2,1.2,.9,5.8,311
22107,2021-01-02 03:00,9.5,307,12.2,1025.9,58,8.4,17.9,2.3,1.5,1.1,5.8,319
22107,2021-01-02 04:00,7.9,301,10.3,1025.9,54,8.3,17.8,2.3,1.5,1.1,5.3,317
22107,2021-01-02 05:00,8.7,307,11.5,1025.9,59,8.6,17.9,2.4,1.5,1,5.3,325
22107,2021-01-02 06:00,9.3,319,12.8,1026,55,8.3,17.9,2.1,1.3,.9,5.3,316
22107,2021-01-02 07:00,8.9,319,12.3,1026.4,56,8.4,17.8,1.7,1.2,.8,5.3,323
22107,2021-01-02 08:00,7.1,308,9.9,1026.7,54,8.3,17.5,2.3,1.4,1,5.3,328
22107,2021-01-02 09:00,8.2,330,11.2,1027,55,8.6,17.2,2.1,1.3,1,5.3,329
22107,2021-01-02 10:00,7,321,10.5,1027.3,57,8.7,17.2,2.2,1.4,1,5.8,333
22107,2021-01-02 11:00,8.8,334,13.2,1027.2,53,9.3,17.2,2,1.3,.9,5.8,304
22107,2021-01-02 12:00,7.2,320,10.5,1027.1,48,9.2,17.4,1.9,1.3,.9,5.8,312
22107,2021-01-02 13:00,10,349,13.3,1025.9,68,9.1,17.7,1.9,1.2,.9,6.4,306
22107,2021-01-02 14:00,9.2,345,13.1,1025.8,60,9.1,17.6,2.1,1.3,.9,6.4,311
22107,2021-01-02 15:00,9.6,359,12.4,1025.4,65,8.6,17.6,2.5,1.5,1.1,5.8,301
22107,2021-01-02 16:00,8.8,352,12.5,1027.1,64,8.6,17.5,2.4,1.7,1.2,5.3,336
22107,2021-01-02 17:00,10,345,13.4,1028.1,61,8.2,17.6,2.7,1.7,1.2,5.3,320
22107,2021-01-02 18:00,10.1,1,13.1,1028.9,59,7.8,17.6,3,1.6,1.2,5.8,315
22107,2021-01-02 19:00,10.5,3,14.2,1029.2,62,7.1,17.6,2.9,1.7,1.2,5.8,317
22107,2021-01-02 20:00,10.1,10,13.7,1029.8,62,6.9,17.7,2.2,1.5,1.1,4.6,338
22107,2021-01-02 21:00,10.9,23,14.8,1029,64,6.4,17.7,2.3,1.6,1.1,5.3,339
22107,2021-01-02 22:00,9.3,24,13.4,1029.8,61,6.4,17.7,2.8,1.6,1.1,4.9,9
22107,2021-01-02 23:00,10.1,17,13.1,1030.2,60,6.1,17.7,2.5,1.5,1.1,4.9,9
22107,2021-01-03 00:00,10.1,21,13.4,1030.2,66,6.2,17.7,2.1,1.5,1.1,5.8,319
22107,2021-01-03 01:00,9.7,20,12.6,1030.6,67,6.2,17.5,2.3,1.2,.8,5.3,325
22107,2021-01-03 02:00,9.7,26,12.7,1030.8,69,5.9,17.4,2.3,1.4,1,5.3,316
22107,2021-01-03 03:00,9.4,32,13.7,1031.1,71,6,17.4,1.9,1.3,.9,5.8,326
22107,2021-01-03 04:00,8.6,38,11.8,1031.9,70,5.8,17.4,2.5,1.5,1.1,5.8,10
22107,2021-01-03 05:00,9,37,12.4,1031.3,72,5.7,17.4,2,1.3,.9,5.3,331
