지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22188,2021-01-01 00:00,11.5,301,14.6,1024.2,59,2.1,11.2,2.5,1.6,1.1,4.9,265
22188,2021-01-01 01:00,9.2,320,12.1,1025.1,62,2.5,11.1,2.7,1.6,1.1,5.3,254
22188,2021-01-01 02:00,8.8,326,12.1,1025.2,61,2.5,11,2.1,1.4,1,5.3,245
22188,2021-01-01 03:00,9.4,314,12.9,1025.2,62,1.2,10.9,2.2,1.4,1,4.9,251
22188,2021-01-01 04:00,10.6,316,13.8,1025.4,56,1.4,10.9,2.3,1.4,1,4.3,307
22188,2021-01-01 05:00,10,298,13,1026.1,61,1.6,10.9,2.4,1.4,1,4.3,299
22188,2021-01-01 06:00,9,298,12.6,1026.4,59,1.7,10.8,2,1.2,.9,4.3,316
22188,2021-01-01 07:00,9.7,305,12.8,1026,58,1.5,10.8,1.8,1.1,.8,4,285
22188,2021-01-01 08:00,8.6,295,11.3,1026.7,60,1.6,10.9,1.9,1.1,.8,4.3,304
22188,2021-01-01 10:00,5.1,301,6.9,1027.6,60,1.9,11.3,1.4,.8,.6,8,83
22188,2021-01-01 11:00,5.3,309,7.4,1027.8,62,2.2,11.6,1.6,.8,.6,8,100
22188,2021-01-01 12:00,8,296,10.3,1027,62,3,11.9,1.3,.9,.6,3.4,305
22188,2021-01-01 13:00,8.3,302,11.9,1026,58,3.3,12,1.5,1,.7,3.6,281
22188,2021-01-01 14:00,7.7,289,10.3,1025.4,56,3.4,11.9,1.6,1,.7,3.4,291
22188,2021-01-01 15:00,8.5,288,10.4,1025.1,53,4,11.6,1.5,.9,.6,3.4,284
22188,2021-01-01 16:00,7.5,289,10.2,1024.9,52,4.3,11.3,1.3,.9,.6,3.4,280
22188,2021-01-01 17:00,8.3,309,10.5,1024.9,51,4.5,11.4,1.3,1,.7,3.4,307
22188,2021-01-01 18:00,7.3,303,9.8,1025.1,51,4.3,11.3,1.4,1,.7,3.6,310
22188,2021-01-01 19:00,8.6,311,11.6,1024.9,50,4.6,11.2,1.4,.9,.7,4,313
22188,2021-01-01 20:00,8,304,10.2,1025.7,50,4.5,11,1.6,1,.7,3.8,302
22188,2021-01-01 21:00,8.4,301,12.1,1025.6,47,4.7,11,1.8,1.2,.8,3.6,293
22188,2021-01-01 22:00,9.3,281,12,1025.3,48,4.9,11,1.8,1.1,.8,4,280
22188,2021-01-01 23:00,7.8,308,10.4,1025.2,49,4.8,10.9,1.4,.9,.6,3.6,294
